Stimuli,IV,Stimuli_Audio,Group,StimuliType
āvemd,L-2,āvemd.mp3,A,Stimuli
āvemč,-1,āvemč.mp3,A,Stimuli
āveqt,H0,āveqt.mp3,A,Stimuli
āvekž,1,āvekž.mp3,A,Stimuli
āvexl,L+2,āvexl.mp3,A,Stimuli
āveby,3,āveby.mp3,A,Stimuli
ojuyq,-3,ojuyq.mp3,A,Stimuli
ojumd,L-2,ojumd.mp3,A,Stimuli
ojumč,-1,ojumč.mp3,A,Stimuli
ojuqt,H0,ojuqt.mp3,A,Stimuli
ojukž,1,ojukž.mp3,A,Stimuli
ojuxl,L+2,ojuxl.mp3,A,Stimuli
ojuby,3,ojuby.mp3,A,Stimuli
eqāyd,H-3,eqāyd.mp3,A,Stimuli
eqārž,-2,eqārž.mp3,A,Stimuli
eqāym,L-1,eqāym.mp3,A,Stimuli
eqāčj,0,eqāčj.mp3,A,Stimuli
eqāks,H+1,eqāks.mp3,A,Stimuli
eqāpn,2,eqāpn.mp3,A,Stimuli
eqā?y,L+3,eqā-y.mp3,A,Stimuli
ileyd,H-3,ileyd.mp3,A,Stimuli
ilerž,-2,ilerž.mp3,A,Stimuli
ileym,L-1,ileym.mp3,A,Stimuli
ilečj,0,ilečj.mp3,A,Stimuli
ileks,H+1,ileks.mp3,A,Stimuli
ilepn,2,ilepn.mp3,A,Stimuli
ile?y,L+3,ile-y.mp3,A,Stimuli
očārp,-3,očārp.mp3,A,Stimuli
očārz,H-2,očārz.mp3,A,Stimuli
očāfp,-1,očāfp.mp3,A,Stimuli
očāmn,L0,očāmn.mp3,A,Stimuli
očābf,1,očābf.mp3,A,Stimuli
očākm,H+2,očākm.mp3,A,Stimuli
očāpr,3,očāpr.mp3,A,Stimuli
āgurp,-3,āgurp.mp3,A,Stimuli
āgurz,H-2,āgurz.mp3,A,Stimuli
āgufp,-1,āgufp.mp3,A,Stimuli
āgumn,L0,āgumn.mp3,A,Stimuli
āgubf,1,āgubf.mp3,A,Stimuli
āgukm,H+2,āgukm.mp3,A,Stimuli
āgupr,3,āgupr.mp3,A,Stimuli
efuy?,L-3,efuy-.mp3,A,Stimuli
efumk,-2,efumk.mp3,A,Stimuli
efunj,H-1,efunj.mp3,A,Stimuli
efušz,0,efušz.mp3,A,Stimuli
erufn,L+1,erufn.mp3,A,Stimuli
efučr,2,efučr.mp3,A,Stimuli
efuql,H+3,efuql.mp3,A,Stimuli
ivay?,L-3,ivay-.mp3,A,Stimuli
ivamk,-2,ivamk.mp3,A,Stimuli
ivanj,H-1,ivanj.mp3,A,Stimuli
ivašz,0,ivašz.mp3,A,Stimuli
ivafn,L+1,ivafn.mp3,A,Stimuli
ivačr,2,ivačr.mp3,A,Stimuli
ivaql,H+3,ivaql.mp3,A,Stimuli
oxeyp,-3,oxeyp.mp3,A,Stimuli
oxels,L-2,oxels.mp3,A,Stimuli
oxemf,-1,oxemf.mp3,A,Stimuli
oxefš,H0,oxefš.mp3,A,Stimuli
oxemy,1,oxemy.mp3,A,Stimuli
oxefy,L+2,oxefy.mp3,A,Stimuli
oxeky,3,oxeky.mp3,A,Stimuli
ibuyp,-3,ibuyp.mp3,A,Stimuli
ibuls,L-2,ibuls.mp3,A,Stimuli
ibumf,-1,ibumf.mp3,A,Stimuli
ibufš,H0,ibufš.mp3,A,Stimuli
ibumy,1,ibumy.mp3,A,Stimuli
ibufy,L+2,ibufy.mp3,A,Stimuli
ibuky,3,ibuky.mp3,A,Stimuli
šebal,NA,šebal.mp3,A,Filler
fedār,NA,fedār.mp3,A,Filler
vorād,NA,vorād.mp3,A,Filler
dakin,NA,dakin.mp3,A,Filler
rifam,NA,rifam.mp3,A,Filler
dāzoh,NA,dāzoh.mp3,A,Filler
besap,NA,besap.mp3,A,Filler
xeqad,NA,xeqad.mp3,A,Filler
zišax,NA,zišax.mp3,A,Filler
lārad,NA,lārad.mp3,A,Filler
soxāv,NA,soxāv.mp3,A,Filler
raqoj,NA,raqoj.mp3,A,Filler
sabay,NA,sabay.mp3,A,Filler
sidoq,NA,sidoq.mp3,A,Filler
yaboq,NA,yaboq.mp3,A,Filler
čepom,NA,čepom.mp3,A,Filler
rekem,NA,rekem.mp3,A,Filler
votik,NA,votik.mp3,A,Filler
šemag,NA,šemag.mp3,A,Filler
xasāp,NA,xasāp.mp3,A,Filler
rekup,NA,rekup.mp3,A,Filler
rulez,NA,rulez.mp3,A,Filler
selāb,NA,selāb.mp3,A,Filler
larib,NA,larib.mp3,A,Filler
kaves,NA,kaves.mp3,A,Filler
xerum,NA,xerum.mp3,A,Filler
debiv,NA,debiv.mp3,A,Filler
suvil,NA,suvil.mp3,A,Filler
lesfep,NA,lesfep.mp3,A,Filler
da?bal,NA,da-bal.mp3,A,Filler
kānbur,NA,kānbur.mp3,A,Filler
pavker,NA,pavker.mp3,A,Filler
jexpim,NA,jexpim.mp3,A,Filler
karyap,NA,karyap.mp3,A,Filler
nākzer,NA,nākzer.mp3,A,Filler
lagnay,NA,lagnay.mp3,A,Filler
surpāf,NA,surpāf.mp3,A,Filler
dekvan,NA,dekvan.mp3,A,Filler
čeqvum,NA,čeqvum.mp3,A,Filler
tuhnip,NA,tuhnip.mp3,A,Filler
yinrāk,NA,yinrāk.mp3,A,Filler
zelteb,NA,zelteb.mp3,A,Filler
pagnuy,NA,pagnuy.mp3,A,Filler
sebyon,NA,sebyon.mp3,A,Filler
fadrun,NA,fadrun.mp3,A,Filler
tekmaš,NA,tekmaš.mp3,A,Filler
fa?yin,NA,fa-yin.mp3,A,Filler
mābfav,NA,mābfav.mp3,A,Filler
dāpxas,NA,dāpxas.mp3,A,Filler
māvkep,NA,māvkep.mp3,A,Filler
kumfad,NA,kumfad.mp3,A,Filler
emrek,NA,emrek.mp3,A,Filler
šāpzef,NA,šāpzef.mp3,A,Filler
guprek,NA,guprek.mp3,A,Filler
zibdef,NA,zibdef.mp3,A,Filler
napsih,NA,napsih.mp3,A,Filler
tokša,NA,tokša.mp3,A,Filler
defbi,NA,defbi.mp3,A,Filler
kānze,NA,kānze.mp3,A,Filler
rābqe,NA,rābqe.mp3,A,Filler
givše,NA,givše.mp3,A,Filler
rivre,NA,rivre.mp3,A,Filler
pible,NA,pible.mp3,A,Filler
tāpfo,NA,tāpfo.mp3,A,Filler
teqnā,NA,teqnā.mp3,A,Filler
febdu,NA,febdu.mp3,A,Filler
lidnā,NA,lidnā.mp3,A,Filler
dāzke,NA,dāzke.mp3,A,Filler
xezbā,NA,xezbā.mp3,A,Filler
yarši,NA,yarši.mp3,A,Filler
tigre,NA,tigre.mp3,A,Filler
tevpā,NA,tevpā.mp3,A,Filler
vetre,NA,vetre.mp3,A,Filler
rāvlā,NA,rāvlā.mp3,A,Filler
bāxze,NA,bāxze.mp3,A,Filler
nāšvi,NA,nāšvi.mp3,A,Filler
lāmše,NA,lāmše.mp3,A,Filler
vapšu,NA,vapšu.mp3,A,Filler
gepsā,NA,gepsā.mp3,A,Filler
morku,NA,morku.mp3,A,Filler
norvā,NA,norvā.mp3,A,Filler
fijpe,NA,fijpe.mp3,A,Filler
yarget,NA,yarget.mp3,A,Filler
nutpā,NA,nutpā.mp3,A,Filler
ernāk,NA,ernāk.mp3,A,Filler
eskav,NA,eskav.mp3,A,Filler
ebzer,NA,ebzer.mp3,A,Filler
idkān,NA,idkān.mp3,A,Filler
āmšel,NA,āmšel.mp3,A,Filler
unzem,NA,unzem.mp3,A,Filler
ušvab,NA,ušvab.mp3,A,Filler
ipbex,NA,ipbex.mp3,A,Filler
optāx,NA,optāx.mp3,A,Filler
ānket,NA,ānket.mp3,A,Filler
efbuz,NA,efbuz.mp3,A,Filler
iktil,NA,iktil.mp3,A,Filler
ensit,NA,ensit.mp3,A,Filler
erhap,NA,erhap.mp3,A,Filler
andep,NA,andep.mp3,A,Filler
exrum,NA,exrum.mp3,A,Filler
utpān,NA,utpān.mp3,A,Filler
okyum,NA,okyum.mp3,A,Filler
otpaf,NA,otpaf.mp3,A,Filler
ivdeb,NA,ivdeb.mp3,A,Filler
ilsuv,NA,ilsuv.mp3,A,Filler
āptev,NA,āptev.mp3,A,Filler
ābsel,NA,ābsel.mp3,A,Filler
erpav,NA,erpav.mp3,A,Filler
āvnor,NA,āvnor.mp3,A,Filler
evreb,NA,evreb.mp3,A,Filler
ukmor,NA,ukmor.mp3,A,Filler
ezrul,NA,ezrul.mp3,A,Filler
apālg,-3,apālg.mp3,B,Stimuli
apānd,H-2,apānd.mp3,B,Stimuli
apāčb,-1,apāčb.mp3,B,Stimuli
apāyr,L0,apāyr.mp3,B,Stimuli
apājn,1,apājn.mp3,B,Stimuli
apāhr,H+2,apāhr.mp3,B,Stimuli
ašāpl,3,ašāpl.mp3,B,Stimuli
edelg,-3,edelg.mp3,B,Stimuli
edend,H-2,edend.mp3,B,Stimuli
edečb,-1,edečb.mp3,B,Stimuli
edeyr,L0,edeyr.mp3,B,Stimuli
edejn,1,edejn.mp3,B,Stimuli
edehr,H+2,edehr.mp3,B,Stimuli
edepl,3,edepl.mp3,B,Stimuli
oval?,L-3,oval-.mp3,B,Stimuli
ovalz,-2,ovalz.mp3,B,Stimuli
ovast,H-1,ovast.mp3,B,Stimuli
ovanm,0,ovanm.mp3,B,Stimuli
ovads,L+1,ovads.mp3,B,Stimuli
ovadm,2,ovadm.mp3,B,Stimuli
ovatr,H+3,ovatr.mp3,B,Stimuli
izul?,L-3,izul-.mp3,B,Stimuli
izulz,-2,izulz.mp3,B,Stimuli
izust,H-1,izust.mp3,B,Stimuli
izunm,0,izunm.mp3,B,Stimuli
izuds,L+1,izuds.mp3,B,Stimuli
izudm,2,izudm.mp3,B,Stimuli
izutr,H+3,izutr.mp3,B,Stimuli
esāyq,-3,esāyq.mp3,B,Stimuli
esāmd,L-2,esāmd.mp3,B,Stimuli
esāmč,-1,esāmč.mp3,B,Stimuli
esāqt,H0,esāqt.mp3,B,Stimuli
esākž,1,esākž.mp3,B,Stimuli
esāxl,L+2,esāxl.mp3,B,Stimuli
esāby,3,esāby.mp3,B,Stimuli
ateyq,-3,ateyq.mp3,B,Stimuli
atemd,L-2,atemd.mp3,B,Stimuli
atemč,-1,atemč.mp3,B,Stimuli
ateqt,H0,ateqt.mp3,B,Stimuli
atekž,1,atekž.mp3,B,Stimuli
atexl,L+2,atexl.mp3,B,Stimuli
ateby,3,ateby.mp3,B,Stimuli
āveyd,H-3,āveyd.mp3,B,Stimuli
āverž,-2,āverž.mp3,B,Stimuli
āveym,L-1,āveym.mp3,B,Stimuli
āvečj,0,āvečj.mp3,B,Stimuli
āveks,H+1,āveks.mp3,B,Stimuli
āvepn,2,āvepn.mp3,B,Stimuli
āve?y,L+3,āve-y.mp3,B,Stimuli
ojuyd,H-3,ojuyd.mp3,B,Stimuli
ojurž,-2,ojurž.mp3,B,Stimuli
ojuym,L-1,ojuym.mp3,B,Stimuli
oručj,0,oručj.mp3,B,Stimuli
ojuks,H+1,ojuks.mp3,B,Stimuli
ojupn,2,ojupn.mp3,B,Stimuli
oju?y,L+3,oju-y.mp3,B,Stimuli
eqārp,-3,eqārp.mp3,B,Stimuli
eqārz,H-2,eqārz.mp3,B,Stimuli
eqāfp,-1,eqāfp.mp3,B,Stimuli
eqāmn,L0,eqāmn.mp3,B,Stimuli
eqābf,1,eqābf.mp3,B,Stimuli
eqākm,H+2,eqākm.mp3,B,Stimuli
eqāpr,3,eqāpr.mp3,B,Stimuli
ilerp,-3,ilerp.mp3,B,Stimuli
ilerz,H-2,ilerz.mp3,B,Stimuli
ilefp,-1,ilefp.mp3,B,Stimuli
ilemn,L0,ilemn.mp3,B,Stimuli
ilebf,1,ilebf.mp3,B,Stimuli
ilekm,H+2,ilekm.mp3,B,Stimuli
ilepr,3,ilepr.mp3,B,Stimuli
očāy?,L-3,očāy-.mp3,B,Stimuli
očāmk,-2,očāmk.mp3,B,Stimuli
očānj,H-1,očānj.mp3,B,Stimuli
očāšz,0,očāšz.mp3,B,Stimuli
očāfn,L+1,očāfn.mp3,B,Stimuli
orāčr,2,orāčr.mp3,B,Stimuli
očāql,H+3,očāql.mp3,B,Stimuli
āguy?,L-3,āguy-.mp3,B,Stimuli
āgumk,-2,āgumk.mp3,B,Stimuli
āgunj,H-1,āgunj.mp3,B,Stimuli
āgušz,0,āgušz.mp3,B,Stimuli
āgufn,L+1,āgufn.mp3,B,Stimuli
āgučr,2,āgučr.mp3,B,Stimuli
āguql,H+3,āguql.mp3,B,Stimuli
efuyp,-3,efuyp.mp3,B,Stimuli
efuls,L-2,efuls.mp3,B,Stimuli
efumf,-1,efumf.mp3,B,Stimuli
erufš,H0,erufš.mp3,B,Stimuli
efumy,1,efumy.mp3,B,Stimuli
erufy,L+2,erufy.mp3,B,Stimuli
efuky,3,efuky.mp3,B,Stimuli
ivayp,-3,ivayp.mp3,B,Stimuli
ivals,L-2,ivals.mp3,B,Stimuli
ivamf,-1,ivamf.mp3,B,Stimuli
ivafš,H0,ivafš.mp3,B,Stimuli
ivamy,1,ivamy.mp3,B,Stimuli
ivafy,L+2,ivafy.mp3,B,Stimuli
ivaky,3,ivaky.mp3,B,Stimuli
oxerd,H-3,oxerd.mp3,B,Stimuli
oxerh,-2,oxerh.mp3,B,Stimuli
oxefq,L-1,oxefq.mp3,B,Stimuli
oxedp,0,oxedp.mp3,B,Stimuli
oxesm,H+1,oxesm.mp3,B,Stimuli
oxešl,2,oxešl.mp3,B,Stimuli
oxedl,L+3,oxedl.mp3,B,Stimuli
iburd,H-3,iburd.mp3,B,Stimuli
iburh,-2,iburh.mp3,B,Stimuli
ibufq,L-1,ibufq.mp3,B,Stimuli
ibudp,0,ibudp.mp3,B,Stimuli
ibusm,H+1,ibusm.mp3,B,Stimuli
ibušl,2,ibušl.mp3,B,Stimuli
ibudl,L+3,ibudl.mp3,B,Stimuli
šebal,NA,šebal.mp3,B,Filler
fedār,NA,fedār.mp3,B,Filler
vorād,NA,vorād.mp3,B,Filler
dakin,NA,dakin.mp3,B,Filler
rifam,NA,rifam.mp3,B,Filler
dāzoh,NA,dāzoh.mp3,B,Filler
besap,NA,besap.mp3,B,Filler
xeqad,NA,xeqad.mp3,B,Filler
zišax,NA,zišax.mp3,B,Filler
lārad,NA,lārad.mp3,B,Filler
soxāv,NA,soxāv.mp3,B,Filler
raqoj,NA,raqoj.mp3,B,Filler
sabay,NA,sabay.mp3,B,Filler
sidoq,NA,sidoq.mp3,B,Filler
yaboq,NA,yaboq.mp3,B,Filler
čepom,NA,čepom.mp3,B,Filler
rekem,NA,rekem.mp3,B,Filler
votik,NA,votik.mp3,B,Filler
šemag,NA,šemag.mp3,B,Filler
xasāp,NA,xasāp.mp3,B,Filler
rekup,NA,rekup.mp3,B,Filler
rulez,NA,rulez.mp3,B,Filler
selāb,NA,selāb.mp3,B,Filler
larib,NA,larib.mp3,B,Filler
kaves,NA,kaves.mp3,B,Filler
xerum,NA,xerum.mp3,B,Filler
debiv,NA,debiv.mp3,B,Filler
suvil,NA,suvil.mp3,B,Filler
lesfep,NA,lesfep.mp3,B,Filler
da?bal,NA,da-bal.mp3,B,Filler
kānbur,NA,kānbur.mp3,B,Filler
pavker,NA,pavker.mp3,B,Filler
jexpim,NA,jexpim.mp3,B,Filler
karyap,NA,karyap.mp3,B,Filler
nākzer,NA,nākzer.mp3,B,Filler
lagnay,NA,lagnay.mp3,B,Filler
surpāf,NA,surpāf.mp3,B,Filler
dekvan,NA,dekvan.mp3,B,Filler
čeqvum,NA,čeqvum.mp3,B,Filler
tuhnip,NA,tuhnip.mp3,B,Filler
yinrāk,NA,yinrāk.mp3,B,Filler
zelteb,NA,zelteb.mp3,B,Filler
pagnuy,NA,pagnuy.mp3,B,Filler
sebyon,NA,sebyon.mp3,B,Filler
fadrun,NA,fadrun.mp3,B,Filler
tekmaš,NA,tekmaš.mp3,B,Filler
fa?yin,NA,fa-yin.mp3,B,Filler
mābfav,NA,mābfav.mp3,B,Filler
dāpxas,NA,dāpxas.mp3,B,Filler
māvkep,NA,māvkep.mp3,B,Filler
kumfad,NA,kumfad.mp3,B,Filler
emrek,NA,emrek.mp3,B,Filler
šāpzef,NA,šāpzef.mp3,B,Filler
guprek,NA,guprek.mp3,B,Filler
zibdef,NA,zibdef.mp3,B,Filler
napsih,NA,napsih.mp3,B,Filler
tokša,NA,tokša.mp3,B,Filler
defbi,NA,defbi.mp3,B,Filler
kānze,NA,kānze.mp3,B,Filler
rābqe,NA,rābqe.mp3,B,Filler
givše,NA,givše.mp3,B,Filler
rivre,NA,rivre.mp3,B,Filler
pible,NA,pible.mp3,B,Filler
tāpfo,NA,tāpfo.mp3,B,Filler
teqnā,NA,teqnā.mp3,B,Filler
febdu,NA,febdu.mp3,B,Filler
lidnā,NA,lidnā.mp3,B,Filler
dāzke,NA,dāzke.mp3,B,Filler
xezbā,NA,xezbā.mp3,B,Filler
yarši,NA,yarši.mp3,B,Filler
tigre,NA,tigre.mp3,B,Filler
tevpā,NA,tevpā.mp3,B,Filler
vetre,NA,vetre.mp3,B,Filler
rāvlā,NA,rāvlā.mp3,B,Filler
bāxze,NA,bāxze.mp3,B,Filler
nāšvi,NA,nāšvi.mp3,B,Filler
lāmše,NA,lāmše.mp3,B,Filler
vapšu,NA,vapšu.mp3,B,Filler
gepsā,NA,gepsā.mp3,B,Filler
morku,NA,morku.mp3,B,Filler
norvā,NA,norvā.mp3,B,Filler
fijpe,NA,fijpe.mp3,B,Filler
yarget,NA,yarget.mp3,B,Filler
nutpā,NA,nutpā.mp3,B,Filler
ernāk,NA,ernāk.mp3,B,Filler
eskav,NA,eskav.mp3,B,Filler
ebzer,NA,ebzer.mp3,B,Filler
idkān,NA,idkān.mp3,B,Filler
āmšel,NA,āmšel.mp3,B,Filler
unzem,NA,unzem.mp3,B,Filler
ušvab,NA,ušvab.mp3,B,Filler
ipbex,NA,ipbex.mp3,B,Filler
optāx,NA,optāx.mp3,B,Filler
ānket,NA,ānket.mp3,B,Filler
efbuz,NA,efbuz.mp3,B,Filler
iktil,NA,iktil.mp3,B,Filler
ensit,NA,ensit.mp3,B,Filler
erhap,NA,erhap.mp3,B,Filler
andep,NA,andep.mp3,B,Filler
exrum,NA,exrum.mp3,B,Filler
utpān,NA,utpān.mp3,B,Filler
okyum,NA,okyum.mp3,B,Filler
otpaf,NA,otpaf.mp3,B,Filler
ivdeb,NA,ivdeb.mp3,B,Filler
ilsuv,NA,ilsuv.mp3,B,Filler
āptev,NA,āptev.mp3,B,Filler
ābsel,NA,ābsel.mp3,B,Filler
erpav,NA,erpav.mp3,B,Filler
āvnor,NA,āvnor.mp3,B,Filler
evreb,NA,evreb.mp3,B,Filler
ukmor,NA,ukmor.mp3,B,Filler
ezrul,NA,ezrul.mp3,B,Filler
apāl?,L-3,apāl-.mp3,C,Stimuli
apālz,-2,apālz.mp3,C,Stimuli
apāst,H-1,apāst.mp3,C,Stimuli
apānm,0,apānm.mp3,C,Stimuli
apāds,L+1,apāds.mp3,C,Stimuli
apādm,2,apādm.mp3,C,Stimuli
apātr,H+3,apātr.mp3,C,Stimuli
edel?,L-3,edel-.mp3,C,Stimuli
edelz,-2,edelz.mp3,C,Stimuli
edest,H-1,edest.mp3,C,Stimuli
edenm,0,edenm.mp3,C,Stimuli
ezeds,L+1,ezeds.mp3,C,Stimuli
ededm,2,ededm.mp3,C,Stimuli
edetr,H+3,edetr.mp3,C,Stimuli
ovayq,-3,ovayq.mp3,C,Stimuli
ovamd,L-2,ovamd.mp3,C,Stimuli
ovamč,-1,ovamč.mp3,C,Stimuli
opaqt,H0,opaqt.mp3,C,Stimuli
ovakž,1,ovakž.mp3,C,Stimuli
ovaxl,L+2,ovaxl.mp3,C,Stimuli
ovaby,3,ovaby.mp3,C,Stimuli
izuyq,-3,izuyq.mp3,C,Stimuli
izumd,L-2,izumd.mp3,C,Stimuli
izumč,-1,izumč.mp3,C,Stimuli
izuqt,H0,izuqt.mp3,C,Stimuli
izukž,1,izukž.mp3,C,Stimuli
izuxl,L+2,izuxl.mp3,C,Stimuli
izuby,3,izuby.mp3,C,Stimuli
esāyd,H-3,esāyd.mp3,C,Stimuli
esārž,-2,esārž.mp3,C,Stimuli
esāym,L-1,esāym.mp3,C,Stimuli
esāčj,0,esāčj.mp3,C,Stimuli
esāks,H+1,esāks.mp3,C,Stimuli
esāpn,2,esāpn.mp3,C,Stimuli
esā?y,L+3,esā-y.mp3,C,Stimuli
ateyd,H-3,ateyd.mp3,C,Stimuli
aterž,-2,aterž.mp3,C,Stimuli
ateym,L-1,ateym.mp3,C,Stimuli
atečj,0,atečj.mp3,C,Stimuli
ateks,H+1,ateks.mp3,C,Stimuli
atepn,2,atepn.mp3,C,Stimuli
ate?y,L+3,ate-y.mp3,C,Stimuli
āverp,-3,āverp.mp3,C,Stimuli
āverz,H-2,āverz.mp3,C,Stimuli
āvefp,-1,āvefp.mp3,C,Stimuli
āvemn,L0,āvemn.mp3,C,Stimuli
āvebf,1,āvebf.mp3,C,Stimuli
āvekm,H+2,āvekm.mp3,C,Stimuli
āvepr,3,āvepr.mp3,C,Stimuli
ojurp,-3,ojurp.mp3,C,Stimuli
ojurz,H-2,ojurz.mp3,C,Stimuli
ojufp,-1,ojufp.mp3,C,Stimuli
ojumn,L0,ojumn.mp3,C,Stimuli
ojubf,1,ojubf.mp3,C,Stimuli
ojukm,H+2,ojukm.mp3,C,Stimuli
ojupr,3,ojupr.mp3,C,Stimuli
eqāy?,L-3,eqāy-.mp3,C,Stimuli
eqāmk,-2,eqāmk.mp3,C,Stimuli
eqānj,H-1,eqānj.mp3,C,Stimuli
eqāšz,0,eqāšz.mp3,C,Stimuli
eqāfn,L+1,eqāfn.mp3,C,Stimuli
eqāčr,2,eqāčr.mp3,C,Stimuli
epāql,H+3,epāql.mp3,C,Stimuli
iley?,L-3,iley-.mp3,C,Stimuli
ilemk,-2,ilemk.mp3,C,Stimuli
ivenj,H-1,ivenj.mp3,C,Stimuli
ilešz,0,ilešz.mp3,C,Stimuli
ilefn,L+1,ilefn.mp3,C,Stimuli
ilečr,2,ilečr.mp3,C,Stimuli
ileql,H+3,ileql.mp3,C,Stimuli
očāyp,-3,očāyp.mp3,C,Stimuli
očāls,L-2,očāls.mp3,C,Stimuli
očāmf,-1,očāmf.mp3,C,Stimuli
očāfš,H0,očāfš.mp3,C,Stimuli
očāmy,1,očāmy.mp3,C,Stimuli
očāfy,L+2,očāfy.mp3,C,Stimuli
očāky,3,očāky.mp3,C,Stimuli
āguyp,-3,āguyp.mp3,C,Stimuli
āguls,L-2,āguls.mp3,C,Stimuli
āgumf,-1,āgumf.mp3,C,Stimuli
āgufš,H0,āgufš.mp3,C,Stimuli
āgumy,1,āgumy.mp3,C,Stimuli
āgufy,L+2,āgufy.mp3,C,Stimuli
āguky,3,āguky.mp3,C,Stimuli
efurd,H-3,efurd.mp3,C,Stimuli
efurh,-2,efurh.mp3,C,Stimuli
erufq,L-1,erufq.mp3,C,Stimuli
efudp,0,efudp.mp3,C,Stimuli
efusm,H+1,efusm.mp3,C,Stimuli
efušl,2,efušl.mp3,C,Stimuli
efudl,L+3,efudl.mp3,C,Stimuli
ivard,H-3,ivard.mp3,C,Stimuli
ivarh,-2,ivarh.mp3,C,Stimuli
ivafq,L-1,ivafq.mp3,C,Stimuli
ivadp,0,ivadp.mp3,C,Stimuli
ivasm,H+1,ivasm.mp3,C,Stimuli
ivašl,2,ivašl.mp3,C,Stimuli
ivadl,L+3,ivadl.mp3,C,Stimuli
oxelg,-3,oxelg.mp3,C,Stimuli
oxend,H-2,oxend.mp3,C,Stimuli
oxečb,-1,oxečb.mp3,C,Stimuli
oleyr,L0,oleyr.mp3,C,Stimuli
oxejn,1,oxejn.mp3,C,Stimuli
oxehr,H+2,oxehr.mp3,C,Stimuli
oxepl,3,oxepl.mp3,C,Stimuli
ibulg,-3,ibulg.mp3,C,Stimuli
ibund,H-2,ibund.mp3,C,Stimuli
ibučb,-1,ibučb.mp3,C,Stimuli
ibuyr,L0,ibuyr.mp3,C,Stimuli
ibujn,1,ibujn.mp3,C,Stimuli
ibuhr,H+2,ibuhr.mp3,C,Stimuli
ibupl,3,ibupl.mp3,C,Stimuli
šebal,NA,šebal.mp3,C,Filler
fedār,NA,fedār.mp3,C,Filler
vorād,NA,vorād.mp3,C,Filler
dakin,NA,dakin.mp3,C,Filler
rifam,NA,rifam.mp3,C,Filler
dāzoh,NA,dāzoh.mp3,C,Filler
besap,NA,besap.mp3,C,Filler
xeqad,NA,xeqad.mp3,C,Filler
zišax,NA,zišax.mp3,C,Filler
lārad,NA,lārad.mp3,C,Filler
soxāv,NA,soxāv.mp3,C,Filler
raqoj,NA,raqoj.mp3,C,Filler
sabay,NA,sabay.mp3,C,Filler
sidoq,NA,sidoq.mp3,C,Filler
yaboq,NA,yaboq.mp3,C,Filler
čepom,NA,čepom.mp3,C,Filler
rekem,NA,rekem.mp3,C,Filler
votik,NA,votik.mp3,C,Filler
šemag,NA,šemag.mp3,C,Filler
xasāp,NA,xasāp.mp3,C,Filler
rekup,NA,rekup.mp3,C,Filler
rulez,NA,rulez.mp3,C,Filler
selāb,NA,selāb.mp3,C,Filler
larib,NA,larib.mp3,C,Filler
kaves,NA,kaves.mp3,C,Filler
xerum,NA,xerum.mp3,C,Filler
debiv,NA,debiv.mp3,C,Filler
suvil,NA,suvil.mp3,C,Filler
lesfep,NA,lesfep.mp3,C,Filler
da?bal,NA,da-bal.mp3,C,Filler
kānbur,NA,kānbur.mp3,C,Filler
pavker,NA,pavker.mp3,C,Filler
jexpim,NA,jexpim.mp3,C,Filler
karyap,NA,karyap.mp3,C,Filler
